BRETAGNE;AURAY;30891;LES ARCADES;8 RUE DU LEVENANT;;AURAY;56400
MIDI-PYRENEES;AURIGNAC;431351;ESPACE SAINT MICHEL;ESPACE SAINT MICHEL;;AURIGNAC;31420
AUVERGNE;AURILLAC;31223;NORMANDY;17 RUE DES CARMES;;AURILLAC;15000
RHONE-ALPES;AURIS;31331;LES ECRINS;OFFICE MUNICIPA DE TOURISME;;AURIS EN OISANS;38142
MIDI-PYRENEES;AUTERIVE;31544;OUSTAL;PLACE DU 8 MAI 1945;;AUTERIVE;31190
RHONE-ALPES;AUTRANS;32092;LE CLOS; ;;AUTRANS;38880
BOURGOGNE;AUTUN;32363;ARLETTY;5 RUE PERNETTE;;AUTUN;71400
BOURGOGNE;AUXERRE;32651;MEGA CGR CASINO;1 BOULEVARD DU 11 NOVEMBRE;;AUXERRE;89000
BOURGOGNE;AUXONNE;32771;L EMPIRE;JARDIN DE L HOTEL DE VILLE;;AUXONNE;21130
MIDI-PYRENEES;AUZIELLE;32941;STUDIO 7;LE CHEMIN DES ECOLIERS;;AUZIELLE;31650
BOURGOGNE;AVALLON;33122;VAUBAN;1 RUE DU MARECHAL FOCH;;AVALLON;89200
NORD-PAS-DE-CALAIS;AVESNES-SUR-HELPE;33621;CAMEO;51 RUE DES PRES;;AVESNES SUR HELPE;59440
PROVENCE-ALPES-COTE D'AZUR;AVIGNON;33741;CAPITOLE;3 RUE POURQUERY DE BOISSERIN;;AVIGNON;84000
PROVENCE-ALPES-COTE D'AZUR;AVIGNON;33751;VOX;22 PLACE DE L HORLOGE;;AVIGNON;84000
PROVENCE-ALPES-COTE D'AZUR;AVIGNON;33772;UTOPIA REPUBLIQUE (UTOPIA 5);5 RUE FIGUIERE;;AVIGNON;84000
PROVENCE-ALPES-COTE D'AZUR;AVIGNON;33791;UTOPIA MANUTENTION 1;4 RUE DES ESCALIERS SAINTE ANNE;;AVIGNON;84000
PROVENCE-ALPES-COTE D'AZUR;AVIGNON;33801;PATHE CAP SUD;ZONE COMMERCIALE CAP SUD;ZAC CROIX DE NOVES;AVIGNON;84000
NORD-PAS-DE-CALAIS;AVION;33912;LE FAMILIA;RUE EDOUARD DEPRET;;AVION;62210
BASSE-NORMANDIE;AVRANCHES;34182;STAR;49 RUE DE LA CONSTITUTION;;AVRANCHES;50300
MIDI-PYRENEES;AX LES THERMES;34482;CASINO;ALLEES DU COULOUBRET;;AX LES THERMES;09110
LORRAINE;BACCARAT;35272;LE CONCORDE;10 RUE DE L ABBE MUNIER;;BACCARAT;54120
